BillType,CgstRate,CustomerId,Date,Discount,GstAmount,Id,IgstRate,ItemDescription,MakingCharges,Metal,Purity,RatePerGram,SgstRate,Status,SubTotal,TotalAmount,Weight
PAKKA,1.5,C02767,2024-08-13,806,7476.66,INV-000001,0,Gold Earrings 22K,131,GOLD,18K,7473,1.5,PAID,249222.12,256698.78,33.44
PAKKA,1.5,C01912,2024-04-03,1110,9877.34,INV-000002,0,Gold Anklet 22K,371,GOLD,22K,7063,1.5,PENDING,329244.36,339121.70,46.72
PAKKA,1.5,C00729,2024-03-12,385,5916.44,INV-000003,0,Gold Chain 22K,443,GOLD,24K,6860,1.5,PAID,197214.4,203130.84,28.74
PAKKA,1.5,C07816,2024-06-26,502,10486.20,INV-000004,0,Gold Chain 22K,276,GOLD,22K,7141,1.5,PAID,349540.18,360026.38,48.98
PAKKA,1.5,C05808,2025-10-14,321,124.24,INV-000005,0,Silver Idol,372,SILVER,999,96,1.5,PAID,4141.56,4265.80,42.61
KACHA,1.5,C08683,2024-06-01,2438,4834.26,INV-000006,0,Gold Mangalsutra 22K,320,GOLD,24K,6909,1.5,PAID,161141.67,165975.93,23.63
PAKKA,1.5,C03858,2024-07-24,1295,114.50,INV-000007,0,Silver Glass Set,109,SILVER,999,103,1.5,PAID,3816.71,3931.21,48.57
PAKKA,1.5,C00745,2024-08-23,518,8163.92,INV-000008,0,Gold Pendant 18K,267,GOLD,22K,7583,1.5,PAID,272130.36,280294.28,35.92
PAKKA,1.5,C08997,2024-12-29,1015,1926.12,INV-000009,0,Gold Earrings 22K,260,GOLD,24K,6683,1.5,PAID,64203.76,66129.88,9.72
KACHA,1.5,C02361,2024-07-13,1461,1969.96,INV-000010,0,Gold Bracelet 22K,369,GOLD,22K,7484,1.5,PAID,65665.28,67635.24,8.92
PAKKA,1.5,C02641,2024-07-14,621,3618.10,INV-000011,0,Gold Pendant 18K,250,GOLD,18K,7363,1.5,PAID,120603.09,124221.19,16.43
KACHA,1.5,C05004,2025-06-01,2215,59.72,INV-000012,0,Silver Thali,379,SILVER,999,98,1.5,PAID,1990.9,2050.62,39.05
PAKKA,1.5,C05247,2025-04-03,59,9782.72,INV-000013,0,Gold Nose Pin 22K,154,GOLD,24K,6748,1.5,PAID,326090.88,335873.60,48.31
KACHA,1.5,C06861,2024-05-08,905,3789.74,INV-000014,0,Gold Chain 22K,191,GOLD,22K,7137,1.5,PAID,126324.6,130114.34,17.8
PAKKA,1.5,C01781,2024-12-15,2782,32.74,INV-000015,0,Silver Coin 999,150,SILVER,999,107,1.5,PENDING,1091.6,1124.34,34.8
PAKKA,1.5,C02174,2024-10-25,164,9233.78,INV-000016,0,Gold Anklet 22K,480,GOLD,18K,6977,1.5,PAID,307792.39,317026.17,44.07
PAKKA,1.5,C08946,2024-06-24,2070,-12.96,INV-000017,0,Silver Thali,126,SILVER,999,75,1.5,PAID,-432,-444.96,20.16
PAKKA,1.5,C06643,2024-05-01,374,6354.12,INV-000018,0,Gold Necklace 22K,358,GOLD,24K,6564,1.5,PAID,211804.28,218158.40,32.27
PAKKA,1.5,C08969,2025-08-15,1329,9256.88,INV-000019,0,Gold Anklet 22K,189,GOLD,18K,7136,1.5,PAID,308562.4,317819.28,43.4
PAKKA,1.5,C08772,2024-05-23,1879,28.90,INV-000020,0,Silver Chain,118,SILVER,999,99,1.5,PAID,963.48,992.38,27.52
KACHA,1.5,C05780,2024-09-07,2176,-22.52,INV-000021,0,Silver Coin 999,148,SILVER,999,76,1.5,PAID,-750.44,-772.96,16.81
KACHA,1.5,C07126,2024-09-30,2820,6398.78,INV-000022,0,Gold Chain 22K,342,GOLD,24K,7526,1.5,PAID,213292.42,219691.20,28.67
KACHA,1.5,C04345,2025-05-05,789,1288.22,INV-000023,0,Gold Pendant 18K,279,GOLD,18K,6768,1.5,PAID,42940.56,44228.78,6.42
KACHA,1.5,C05741,2024-05-21,1007,59.16,INV-000024,0,Silver Thali,236,SILVER,999,79,1.5,PAID,1971.88,2031.04,34.72
PAKKA,1.5,C02668,2024-10-16,1647,0.42,INV-000025,0,Silver Payal,225,SILVER,999,93,1.5,PAID,13.92,14.34,15.44
KACHA,1.5,C02414,2025-06-04,36,8915.94,INV-000026,0,Gold Pendant 18K,265,GOLD,22K,7599,1.5,PAID,297197.92,306113.86,39.08
PAKKA,1.5,C05081,2025-05-03,1526,5571.80,INV-000027,0,Gold Mangalsutra 22K,217,GOLD,22K,7042,1.5,PENDING,185726.52,191298.32,26.56
PAKKA,1.5,C01720,2025-04-22,1455,6836.84,INV-000028,0,Gold Necklace 22K,353,GOLD,24K,7233,1.5,PAID,227894.78,234731.62,31.66
PAKKA,1.5,C02310,2025-10-20,1419,15.46,INV-000029,0,Silver Idol,435,SILVER,999,85,1.5,PAID,515.4,530.86,17.64
PAKKA,1.5,C05230,2024-03-21,2774,8908.94,INV-000030,0,Gold Mangalsutra 22K,316,GOLD,22K,6952,1.5,PAID,296964.64,305873.58,43.07
